Gene	Priority
ENSG00000136869	16
ENSG00000136634	15
ENSG00000232810	15
ENSG00000108691	14
ENSG00000136244	14
ENSG00000112062	14
ENSG00000109471	13
ENSG00000154832	13
ENSG00000171855	13
TLR2	13
ENSG00000113520	13
ENSG00000081237	13
ENSG00000115085	13
ENSG00000109320	13
ENSG00000134352	13
ENSG00000182866	13
ENSG00000134460	12
ENSG00000168610	12
ENSG00000111537	12
ENSG00000010810	12
ENSG00000170458	12
ENSG00000113302	12
ENSG00000166710	12
ENSG00000179344	12
ENSG00000269335	12
ENSG00000125730	12
ENSG00000107562	12
ENSG00000115594	12
TGFB1	11
ENSG00000100906	11
ENSG00000010610	11
ENSG00000178562	11
ENSG00000070061	11
ENSG00000126353	11
ENSG00000125538	11
ENSG00000204287	11
ENSG00000026103	11
ENSG00000182578	11
ENSG00000186810	11
ENSG00000090339	11
ENSG00000121966	11
ENSG00000173039	11
ENSG00000172936	11
ENSG00000197635	11
ENSG00000106804	11
ENSG00000163599	11
ENSG00000160255	11
ENSG00000072694	11
ENSG00000213341	11
ENSG00000196839	11
ENSG00000153563	11
ENSG00000120885	11
ENSG00000164305	11
ENSG00000147168	11
ENSG00000064012	11
IL7	11
ITGAM	11
ENSG00000171791	11
ENSG00000019582	10
ENSG00000120659	10
ENSG00000271503	10
ENSG00000204525	10
ENSG00000234745	10
ENSG00000206503	10
ENSG00000203747	10
ENSG00000158473	10
ENSG00000121797	10
ENSG00000104365	10
ENSG00000121807	10
ENSG00000149131	10
ENSG00000150337	10
ENSG00000263528	10
ENSG00000149534	10
STAT6	10
STAT2	10
ENSG00000115415	10
ENSG00000150455	10
ENSG00000108561	10
ENSG00000244731	10
ENSG00000224389	10
ENSG00000184216	10
ENSG00000081059	10
ENSG00000077238	10
ENSG00000175104	10
ENSG00000026508	10
ENSG00000160712	10
ENSG00000166349	10
ENSG00000162692	10
ENSG00000003400	10
ENSG00000028137	10
ENSG00000082512	10
CD24	10
ENSG00000145649	10
ENSG00000140678	10
ENSG00000136689	10
ENSG00000125347	10
ENSG00000106144	10
ENSG00000160224	10
ENSG00000000971	10
ENSG00000137752	10
ENSG00000142192	10
ENSG00000169194	10
ENSG00000243649	10
ENSG00000009724	10
ENSG00000173757	10
TLR1	10
ENSG00000196735	10
HAMP	9
ENSG00000135218	9
ENSG00000159110	9
ENSG00000142166	9
PECAM1	9
ENSG00000231389	9
ENSG00000168040	9
ENSG00000104856	9
ENSG00000154096	9
ENSG00000186431	9
ENSG00000223865	9
ENSG00000109861	9
ENSG00000100448	9
CXCL10	9
ENSG00000163131	9
CXCL2	9
ENSG00000115414	9
SOCS3	9
ENSG00000173372	9
TLR3	9
ENSG00000109743	9
ENSG00000187554	9
ENSG00000239732	9
ENSG00000168685	9
ENSG00000049768	9
ENSG00000072736	9
ENSG00000115232	9
ENSG00000027697	9
ENSG00000169372	9
ENSG00000204577	9
LILRB1	9
ENSG00000180871	9
ENSG00000163464	9
ENSG00000168329	9
ENSG00000079385	9
ENSG00000072274	9
ENSG00000120949	9
ENSG00000162434	9
ENSG00000115009	9
ENSG00000130303	9
ENSG00000132170	9
ENSG00000203710	9
ENSG00000141510	9
ENSG00000078902	9
ENSG00000123146	9
ENSG00000113721	9
ENSG00000102245	9
ENSG00000100365	9
ENSG00000164825	9
CD7	9
ENSG00000197081	9
CD79B	9
CD79A	9
ENSG00000005961	9
ENSG00000112149	9
ENSG00000085117	9
ENSG00000114013	9
ENSG00000113600	9
ENSG00000100030	9
ENSG00000162367	9
ENSG00000168811	9
ENSG00000150782	9
ENSG00000164136	9
ENSG00000172349	9
ENSG00000231925	9
ENSG00000113525	9
ENSG00000204264	9
ENSG00000026751	9
ENSG00000100804	9
ENSG00000166523	9
ENSG00000196352	9
ENSG00000087088	9
ENSG00000165471	9
ENSG00000115590	9
ENSG00000186652	9
ENSG00000150093	9
ENSG00000056558	9
ENSG00000127191	9
TRAF3	9
ENSG00000115604	9
ENSG00000165168	9
ENSG00000008517	9
ENSG00000141655	9
ENSG00000043462	9
ENSG00000007908	9
CFD	9
ENSG00000148400	9
ENSG00000159403	9
ENSG00000242574	9
ENSG00000204257	9
ENSG00000100003	8
ENSG00000073756	8
ENSG00000128342	8
ENSG00000111796	8
ENSG00000115602	8
ENSG00000213906	8
ENSG00000168329	8
ENSG00000163220	8
ENSG00000138684	8
ENSG00000096060	8
ENSG00000100012	8
ENSG00000068079	8
ENSG00000038945	8
LTBR	8
IL12RB1	8
ENSG00000277632	8
ENSG00000153029	8
ENSG00000143184	8
ENSG00000134070	8
ENSG00000129351	8
ENSG00000129048	8
ENSG00000179776	8
ENSG00000185885	8
ENSG00000149311	8
GPI	8
ENSG00000138185	8
ENSG00000012124	8
ENSG00000115523	8
ENSG00000086548	8
ENSG00000139193	8
ENSG00000006210	8
ENSG00000180644	8
ENSG00000119535	8
ENSG00000154589	8
ENSG00000156234	8
CXCL1	8
ENSG00000185338	8
ENSG00000140968	8
ENSG00000165025	8
ENSG00000189067	8
ENSG00000173369	8
ENSG00000164400	8
ENSG00000157404	8
CD3EAP	8
ENSG00000172724	8
ENSG00000167286	8
ENSG00000198851	8
ENSG00000100368	8
ENSG00000131196	8
ENSG00000101096	8
ENSG00000121858	8
ENSG00000116824	8
ENSG00000275302	8
ENSG00000158477	8
ENSG00000124762	8
ENSG00000161638	8
ENSG00000174059	8
ENSG00000184371	8
CD209	8
ENSG00000157873	8
ENSG00000167613	8
ENSG00000007171	8
ENSG00000119922	8
ENSG00000019169	8
ENSG00000131042	8
ENSG00000123838	8
ENSG00000091409	8
ENSG00000149294	8
ENSG00000168036	8
ENSG00000096968	8
ENSG00000105639	8
ENSG00000165030	8
ENSG00000186827	8
ENSG00000102962	8
ENSG00000240065	8
ENSG00000101017	8
ENSG00000196549	8
ENSG00000122861	8
ENSG00000239697	8
ENSG00000148516	8
ENSG00000111679	8
ENSG00000117322	8
ENSG00000131724	8
ENSG00000100453	8
ENSG00000002586	8
ENSG00000153283	8
ENSG00000123610	8
ENSG00000125498	8
ENSG00000005844	8
ENSG00000169429	8
SIGIRR	8
ENSG00000121594	8
ENSG00000137070	8
ENSG00000110448	8
ENSG00000010671	8
ENSG00000205220	8
ENSG00000183918	8
ENSG00000176782	8
ENSG00000173535	8
ENSG00000213903	8
ENSG00000013725	8
ENSG00000169398	8
ENSG00000169403	8
ENSG00000185386	8
ENSG00000112486	8
ENSG00000179934	8
ENSG00000115008	8
ENSG00000010704	8
ENSG00000010278	8
ENSG00000102524	8
ENSG00000258227	8
ENSG00000158869	8
ENSG00000138378	8
ENSG00000179639	8
ENSG00000108622	8
ENSG00000110651	8
ENSG00000179583	8
ENSG00000116815	8
ENSG00000203618	8
ENSG00000163565	8
ENSG00000114737	8
ENSG00000140464	8
ENSG00000166278	8
ENSG00000077150	8
ENSG00000071994	8
ENSG00000101182	8
ENSG00000188389	8
ENSG00000197122	8
ENSG00000163600	8
ENSG00000112115	8
ENSG00000127743	8
ENSG00000109072	8
ENSG00000226979	8
ENSG00000012223	8
ENSG00000172116	8
ENSG00000240505	8
ENSG00000159958	8
ENSG00000185825	8
ENSG00000172156	8
ENSG00000100385	8
ENSG00000189430	8
ENSG00000275718	8
ENSG00000275152	8
ENSG00000048462	8
ENSG00000275385	8
C7	8
ENSG00000103522	8
ENSG00000126561	8
ENSG00000164399	8
ENSG00000241106	8
ENSG00000136930	8
ENSG00000169508	8
ENSG00000117090	8
MAP4K1	8
ENSG00000143119	8
ENSG00000168067	8
KLRD1	8
IL23A	8
ENSG00000011422	8
ENSG00000103035	8
ENSG00000085063	8
ENSG00000157601	8
ENSG00000162747	8
ENSG00000122223	8
ENSG00000157131	8
ENSG00000021852	8
ENSG00000198821	8
ENSG00000176919	8
ENSG00000134242	8
ENSG00000176797	8
ENSG00000115607	8
ENSG00000198824	8
ENSG00000173578	8
SELPLG	8
ENSG00000110324	8
ENSG00000085563	8
ARHGDIB	8
ENSG00000196101	8
ENSG00000161057	8
FCGRT	8
ENSG00000134545	8
ENSG00000100311	8
ENSG00000196126	8
ENSG00000076604	8
ENSG00000117091	8
ENSG00000117335	8
ENSG00000163932	8
ENSG00000097007	8
ENSG00000143226	8
ENSG00000196083	8
ENSG00000188404	8
CFI	8
ENSG00000126456	8
ENSG00000135535	8
ENSG00000111729	8
ENSG00000127241	8
ENSG00000069399	8
ENSG00000182326	8
ENSG00000174600	8
ENSG00000111732	8
ENSG00000126759	8
ENSG00000133661	7
ENSG00000004468	7
ENSG00000166148	7
ENSG00000205755	7
ENSG00000115598	7
ENSG00000116701	7
ENSG00000073861	7
ENSG00000177606	7
ENSG00000165949	7
ENSG00000105383	7
ENSG00000104894	7
ENSG00000142208	7
ENSG00000120899	7
ENSG00000127318	7
ENSG00000074842	7
ENSG00000162892	7
ENSG00000197272	7
ENSG00000111536	7
ENSG00000182393	7
ENSG00000105397	7
ENSG00000137801	7
ENSG00000187764	7
ENSG00000204516	7
ENSG00000204520	7
ENSG00000260314	7
ENSG00000137101	7
ENSG00000004939	7
ENSG00000111802	7
ENSG00000171522	7
EPX	7
ENSG00000081985	7
ENSG00000171867	7
ENSG00000204936	7
ENSG00000197442	7
ENSG00000143185	7
KIR2DS2	7
ENSG00000110395	7
GP9	7
ENSG00000177030	7
ENSG00000078401	7
ENSG00000121351	7
ENSG00000136997	7
ENSG00000161921	7
ENSG00000118412	7
IRAK4	7
ENSG00000168310	7
ENSG00000112096	7
ENSG00000122224	7
ENSG00000198502	7
ENSG00000120242	7
ENSG00000117560	7
ENSG00000143621	7
ENSG00000169248	7
ENSG00000170180	7
ENSG00000250361	7
ENSG00000136732	7
ENSG00000138623	7
ENSG00000145824	7
PAFAH1B3	7
PAFAH1B2	7
ENSG00000180008	7
CXCL3	7
CXCL5	7
ENSG00000162891	7
ENSG00000110092	7
ENSG00000164307	7
CLEC2B	7
ENSG00000159189	7
RFX1	7
ENSG00000148737	7
ENSG00000108342	7
ENSG00000106546	7
CXCL9	7
ENSG00000103313	7
ENSG00000197405	7
ENSG00000196664	7
ENSG00000095752	7
ENSG00000169682	7
ENSG00000134982	7
ENSG00000006606	7
ENSG00000197919	7
CCL3L1	7
ENSG00000160654	7
ENSG00000016402	7
ENSG00000156127	7
ENSG00000224530	7
ENSG00000198223	7
ENSG00000158485	7
ENSG00000158481	7
ENSG00000243646	7
TNFSF14	7
NFKBIB	7
ENSG00000213949	7
ENSG00000108700	7
ENSG00000005884	7
ENSG00000112799	7
ENSG00000204642	7
ENSG00000204592	7
ENSG00000213927	7
ENSG00000144802	7
ENSG00000177697	7
ENSG00000102970	7
ENSG00000160223	7
ENSG00000169575	7
ENSG00000125571	7
ENSG00000185745	7
ENSG00000116031	7
ENSG00000163235	7
DAXX	7
ENSG00000105609	7
LILRB4	7
ENSG00000204574	7
ENSG00000172243	7
ENSG00000160710	7
FOS	7
ENSG00000135318	7
ENSG00000135341	7
KIR2DS1	7
ENSG00000110400	7
ENSG00000151882	7
ENSG00000134489	7
ENSG00000113749	7
ENSG00000049249	7
ENSG00000105325	7
ENSG00000137077	7
ENSG00000274736	7
ENSG00000136694	7
ENSG00000131142	7
ENSG00000106178	7
ENSG00000100991	7
ENSG00000101000	7
ENSG00000167244	7
ENSG00000091181	7
ENSG00000152284	7
ENSG00000106991	7
ENSG00000185436	7
ENSG00000100911	7
ENSG00000141968	7
ENSG00000111981	7
ENSG00000131467	7
ENSG00000112033	7
ENSG00000112715	7
ENSG00000167633	7
ENSG00000240403	7
ENSG00000092010	7
ENSG00000217555	7
ENSG00000181374	7
ENSG00000123496	7
ENSG00000187244	7
ENSG00000185507	7
C1RL	7
ENSG00000128604	7
ENSG00000197721	7
GZMM	7
ENSG00000125818	7
ENSG00000118503	7
ENSG00000197170	7
KIR2DL3	7
KIR2DL2	7
ENSG00000079246	7
ENSG00000136695	7
KIR2DL4	7
ENSG00000164022	7
ENSG00000198087	7
ENSG00000134470	7
ENSG00000056736	7
ENSG00000005339	7
ENSG00000177455	7
ENSG00000116478	7
ENSG00000073060	7
ENSG00000112077	7
ENSG00000156735	7
ENSG00000145839	7
ENSG00000089692	7
ENSG00000163823	7
ENSG00000104689	7
ENSG00000158488	7
ENSG00000113300	7
ENSG00000160791	7
ENSG00000173530	7
ENSG00000169397	7
ENSG00000175899	7
ENSG00000108688	7
ENSG00000164078	7
ENSG00000124334	7
ENSG00000081842	7
ENSG00000123843	7
ENSG00000183735	7
ENSG00000003402	7
FCER2	7
ENSG00000170017	7
ENSG00000244682	7
ENSG00000186265	7
ENSG00000185245	7
ENSG00000066294	7
ENSG00000102871	7
ENSG00000102882	7
ENSG00000163736	7
ENSG00000106952	7
ENSG00000076662	7
ENSG00000143546	7
ENSG00000104951	7
ENSG00000172270	7
ENSG00000164171	7
ENSG00000108702	7
ENSG00000117586	7
ENSG00000172458	7
ENSG00000112116	7
ENSG00000244414	7
ENSG00000135404	7
ENSG00000165806	7
ENSG00000173692	7
ENSG00000110848	7
ENSG00000116678	7
ENSG00000227507	7
ENSG00000185291	7
ENSG00000090376	7
ENSG00000100097	7
ENSG00000134061	7
ENSG00000186074	7
ENSG00000150637	7
ENSG00000142224	7
ENSG00000197993	7
ENSG00000276409	7
ENSG00000113263	7
ENSG00000213928	7
ENSG00000188379	7
ENSG00000156535	7
ITGAE	7
ENSG00000236637	7
ENSG00000168003	7
ENSG00000102265	7
ENSG00000204252	7
ENSG00000120217	7
ENSG00000124875	7
ENSG00000188672	7
ENSG00000196262	7
ENSG00000162594	7
ENSG00000169442	7
ENSG00000169306	7
ENSG00000071054	7
ENSG00000189108	7
ENSG00000197223	7
BIRC3	7
ENSG00000174175	7
ENSG00000117525	7
ENSG00000136696	7
ENSG00000137845	7
ENSG00000146243	7
ENSG00000169032	7
ENSG00000163737	7
ENSG00000151694	7
ENSG00000235718	7
ENSG00000137496	7
ENSG00000249947	7
ENSG00000110719	7
ENSG00000137275	7
ENSG00000005381	7
ENSG00000117400	7
ENSG00000124391	7
ENSG00000164822	7
ENSG00000164816	7
ENSG00000164821	7
ENSG00000144476	7
ENSG00000186891	7
DEFA1	7
ENSG00000167207	7
ENSG00000100764	7
ENSG00000105388	7
ENSG00000165916	7
ENSG00000187010	7
ENSG00000146648	7
ENSG00000259207	7
KLRC2	7
ENSG00000132470	7
ENSG00000172216	7
ENSG00000154229	7
ENSG00000196776	7
ENSG00000120889	7
ENSG00000096264	7
ENSG00000118058	7
ENSG00000112812	7
ENSG00000197110	7
ENSG00000183709	7
ENSG00000221818	7
ENSG00000164330	7
ENSG00000197646	7
ENSG00000116711	7
ENSG00000129226	7
CLEC10A	7
ENSG00000138794	7
ENSG00000161011	7
CLEC4M	7
ENSG00000144730	7
ENSG00000173391	7
ENSG00000117281	7
ENSG00000177575	7
IL27RA	7
ENSG00000197561	7
LILRA3	7
ENSG00000138448	7
ENSG00000136688	7
ENSG00000196371	7
ENSG00000171124	7
ENSG00000177663	7
ENSG00000156886	7
ENSG00000105501	7
ENSG00000105492	7
ENSG00000113916	7
ENSG00000239998	7
ENSG00000221957	7
ENSG00000073754	7
ENSG00000104974	7
ENSG00000095303	6
