Gene	Priority
TLR4	16
IL10	15
TNF	15
CCL2	14
IL6	14
MAPK14	14
IL2	13
SPP1	13
IFNB1	13
TLR2	13
IL4	13
PTPRC	13
ZAP70	13
NFKB1	13
IL6ST	13
LCK	13
IL2RA	12
STAT3	12
IFNG	12
FYN	12
CD14	12
IL12B	12
B2M	12
HLA-DQB1	12
IKBKG	12
C3	12
CXCL12	12
IL1R1	12
TGFB1	11
NFKBIA	11
CD4	11
CD28	11
IKBKAP	11
CCR7	11
IL1B	11
HLA-DRA	11
FAS	11
CSF1R	11
CXCR3	11
ICAM1	11
CXCR4	11
RELA	11
MYD88	11
DPP4	11
C5	11
CTLA4	11
ITGB2	11
FCGR2B	11
CHUK	11
ADA	11
CD8A	11
CLU	11
CASP3	11
IL2RG	11
CASP8	11
IL7	11
ITGAM	11
BCL2	11
CD74	10
TNFSF11	10
CCL5	10
HLA-C	10
HLA-B	10
HLA-A	10
FCGR3A	10
CD1D	10
CCRL2	10
IKBKB	10
CCR2	10
SERPING1	10
FCGR1A	10
IKBKE	10
MS4A1	10
STAT6	10
STAT2	10
STAT1	10
TIRAP	10
C1QBP	10
C4A	10
C4B	10
IRAK1	10
TCF7	10
IL4R	10
TRAF6	10
CD44	10
IL6R	10
RAG1	10
VCAM1	10
CASP10	10
TNFRSF1B	10
TRAF5	10
CD24	10
GZMA	10
ITGAX	10
IL1RN	10
IRF1	10
CASP2	10
AIRE	10
CFH	10
CASP1	10
APP	10
IL13	10
CFB	10
MASP2	10
STAT5B	10
TLR1	10
HLA-DQA1	10
HAMP	9
CD36	9
IFNAR2	9
IFNAR1	9
PECAM1	9
HLA-DPA1	9
FADD	9
RELB	9
THY1	9
FCAR	9
HLA-DPB1	9
CTSC	9
CTSG	9
CXCL10	9
CTSS	9
CXCL2	9
FN1	9
SOCS3	9
C1QA	9
TLR3	9
BST1	9
TLR5	9
TLR9	9
IL7R	9
FOXP3	9
NFATC3	9
ITGA4	9
IFNGR1	9
CRADD	9
LILRB3	9
LILRB1	9
IL8RB	9
IL8RA	9
CX3CR1	9
CEACAM1	9
TFRC	9
TNFRSF8	9
JAK1	9
CCL20	9
BST2	9
PPARG	9
CR1	9
TP53	9
TOLLIP	9
CD97	9
